
observation,prediction
22.1,17.9707745128
10.4,9.1479740484
9.3,7.85022376458
18.5,14.2343945747
12.9,15.6272181394
7.2,7.44616232089
11.8,9.76595037403
13.2,12.7464977292
4.8,7.44140865685
10.6,16.5304143076
8.6,10.1747654818
17.4,17.2387102501
9.2,8.16396559143
9.7,11.6674159913
19.0,16.7348218615
22.4,16.3212530897
12.5,10.2555777705
24.4,20.409404167
11.3,10.3221290671
14.6,14.0347406849
18.0,17.4145958197
12.5,18.3177919879
5.6,7.66007720284
15.5,17.88520856
9.7,9.9941262481
12.0,19.529976319
15.0,13.825579467
15.9,18.4461409171
18.9,18.8597096889
10.5,10.3886803637
21.4,20.956075532
11.9,12.399480254
9.6,11.6531549992
17.4,19.6583252481
9.5,11.5818500386
12.8,20.851494923
25.4,19.7201228807
14.7,10.5835805895
10.1,9.08142275179
21.5,17.8709475679
16.6,16.6587632368
17.1,15.4465789058
20.7,20.9893511803
12.9,16.8679244547
8.5,8.225763224
14.9,15.3562592889
10.6,11.296630196
23.2,18.436633589
14.8,17.8329182555
9.7,10.2127947941
11.4,16.5304143076
10.7,11.8052722486
22.6,17.3195225388
21.2,15.7127840922
20.2,19.5204689909
23.7,16.4876313313
5.5,7.37961102429
